byte_length,setup_time,transfer_time
1,0.000056,0.000032
1,0.000021,0.000023
1,0.000027,0.000022
1,0.000028,0.000035
1,0.000019,0.000021
1,0.000024,0.000025
1,0.000025,0.000023
1,0.000034,0.000023
1,0.000031,0.000023
1,0.000029,0.000023
2,0.000034,0.000022
2,0.000034,0.000022
2,0.000028,0.000023
2,0.000032,0.000023
2,0.000031,0.000024
2,0.000027,0.000021
2,0.000024,0.000024
2,0.000041,0.000033
2,0.000030,0.000022
2,0.000034,0.000023
3,0.000026,0.000021
3,0.000029,0.000022
3,0.000032,0.000022
3,0.000050,0.000033
3,0.000028,0.000022
3,0.000023,0.000022
3,0.000020,0.000018
3,0.000029,0.000026
3,0.000021,0.000022
3,0.000021,0.000022
4,0.000026,0.000024
4,0.000041,0.000026
4,0.000030,0.000022
4,0.000041,0.000032
4,0.000033,0.000025
4,0.000032,0.000022
4,0.000026,0.000032
4,0.000033,0.000026
4,0.000032,0.000022
4,0.000022,0.000023
6,0.000041,0.000031
6,0.000030,0.000022
6,0.000027,0.000022
6,0.000023,0.000024
6,0.000024,0.000023
6,0.000034,0.000022
6,0.000040,0.000023
6,0.000041,0.000039
6,0.000037,0.000025
6,0.000042,0.000032
9,0.000035,0.000026
9,0.000022,0.000023
9,0.000030,0.000022
9,0.000033,0.000025
9,0.000041,0.000031
9,0.000025,0.000032
9,0.000028,0.000022
9,0.000034,0.000024
9,0.000021,0.000021
9,0.000029,0.000022
14,0.000037,0.000023
14,0.000038,0.000033
14,0.000041,0.000033
14,0.000041,0.000038
14,0.000022,0.000022
14,0.000029,0.000023
14,0.000026,0.000033
14,0.000041,0.000023
14,0.000040,0.000033
14,0.000040,0.000033
21,0.000025,0.000032
21,0.000033,0.000023
21,0.000052,0.000041
21,0.000028,0.000022
21,0.000043,0.000030
21,0.000030,0.000023
21,0.000041,0.000032
21,0.000025,0.000022
21,0.000038,0.000027
21,0.000026,0.000025
32,0.000029,0.000023
32,0.000023,0.000025
32,0.000027,0.000023
32,0.000034,0.000025
32,0.000036,0.000022
32,0.000019,0.000023
32,0.000033,0.000025
32,0.000027,0.000022
32,0.000034,0.000026
32,0.000034,0.000035
48,0.000026,0.000023
48,0.000027,0.000022
48,0.000029,0.000021
48,0.000032,0.000032
48,0.000021,0.000021
48,0.000025,0.000022
48,0.000040,0.000028
48,0.000025,0.000032
48,0.000042,0.000034
48,0.000029,0.000024
72,0.000039,0.000023
72,0.000025,0.000035
72,0.000025,0.000025
72,0.000035,0.000023
72,0.000025,0.000033
72,0.000033,0.000021
72,0.000031,0.000023
72,0.000028,0.000023
72,0.000028,0.000022
72,0.000023,0.000023
108,0.000028,0.000021
108,0.000030,0.000025
108,0.000027,0.000031
108,0.000020,0.000022
108,0.000030,0.000026
108,0.000022,0.000022
108,0.000035,0.000022
108,0.000038,0.000023
108,0.000040,0.000033
108,0.000040,0.000032
162,0.000033,0.000025
162,0.000028,0.000022
162,0.000022,0.000022
162,0.000029,0.000024
162,0.000028,0.000022
162,0.000029,0.000028
162,0.000028,0.000022
162,0.000013,0.000019
162,0.000034,0.000025
162,0.000035,0.000022
243,0.000025,0.000035
243,0.000026,0.000024
243,0.000043,0.000024
243,0.000023,0.000024
243,0.000033,0.000026
243,0.000041,0.000035
243,0.000025,0.000035
243,0.000038,0.000024
243,0.000038,0.000025
243,0.000039,0.000023
364,0.000030,0.000023
364,0.000032,0.000023
364,0.000035,0.000031
364,0.000041,0.000038
364,0.000030,0.000023
364,0.000029,0.000023
364,0.000028,0.000022
364,0.000041,0.000033
364,0.000039,0.000025
364,0.000032,0.000023
546,0.000038,0.000024
546,0.000028,0.000023
546,0.000042,0.000028
546,0.000025,0.000023
546,0.000022,0.000021
546,0.000034,0.000021
546,0.000028,0.000022
546,0.000028,0.000023
546,0.000042,0.000033
546,0.000028,0.000022
819,0.000030,0.000024
819,0.000040,0.000035
819,0.000030,0.000024
819,0.000023,0.000023
819,0.000031,0.000026
819,0.000029,0.000024
819,0.000032,0.000024
819,0.000039,0.000026
819,0.000032,0.000022
819,0.000033,0.000025
1228,0.000028,0.000023
1228,0.000026,0.000023
1228,0.000021,0.000023
1228,0.000041,0.000034
1228,0.000028,0.000023
1228,0.000037,0.000035
1228,0.000042,0.000029
1228,0.000029,0.000022
1228,0.000024,0.000024
1228,0.000030,0.000025
1842,0.000027,0.000024
1842,0.000041,0.000025
1842,0.000032,0.000026
1842,0.000027,0.000023
1842,0.000026,0.000025
1842,0.000025,0.000035
1842,0.000025,0.000026
1842,0.000019,0.000023
1842,0.000036,0.000023
1842,0.000028,0.000027
2763,0.000026,0.000034
2763,0.000027,0.000023
2763,0.000031,0.000026
2763,0.000043,0.000030
2763,0.000027,0.000024
2763,0.000028,0.000023
2763,0.000021,0.000024
2763,0.000040,0.000033
2763,0.000028,0.000025
2763,0.000021,0.000022
4144,0.000046,0.000035
4144,0.000012,0.000021
4144,0.000020,0.000022
4144,0.000019,0.000021
4144,0.000032,0.000026
4144,0.000040,0.000038
4144,0.000028,0.000025
4144,0.000026,0.000036
4144,0.000019,0.000025
4144,0.000020,0.000021
6216,0.000025,0.000036
6216,0.000023,0.000023
6216,0.000026,0.000033
6216,0.000025,0.000022
6216,0.000027,0.000026
6216,0.000027,0.000034
6216,0.000045,0.000032
6216,0.000027,0.000024
6216,0.000023,0.000027
6216,0.000026,0.000035
9324,0.000026,0.000025
9324,0.000030,0.000031
9324,0.000022,0.000025
9324,0.000036,0.000026
9324,0.000024,0.000027
9324,0.000028,0.000026
9324,0.000041,0.000037
9324,0.000036,0.000030
9324,0.000043,0.000038
9324,0.000027,0.000025
13986,0.000040,0.000039
13986,0.000041,0.000029
13986,0.000026,0.000038
13986,0.000027,0.000035
13986,0.000040,0.000040
13986,0.000034,0.000027
13986,0.000038,0.000036
13986,0.000033,0.000030
13986,0.000027,0.000027
13986,0.000031,0.000029
20979,0.000025,0.000041
20979,0.000027,0.000029
20979,0.000031,0.000030
20979,0.000032,0.000031
20979,0.000027,0.000029
20979,0.000033,0.000031
20979,0.000041,0.000031
20979,0.000036,0.000033
20979,0.000025,0.000034
20979,0.000050,0.000036
31468,0.000020,0.000028
31468,0.000026,0.000031
31468,0.000030,0.000033
31468,0.000039,0.000043
31468,0.000025,0.000035
31468,0.000040,0.000034
31468,0.000027,0.000031
31468,0.000027,0.000032
31468,0.000028,0.000039
31468,0.000026,0.000036
47202,0.000040,0.000045
47202,0.000034,0.000037
47202,0.000020,0.000034
47202,0.000029,0.000045
47202,0.000026,0.000033
47202,0.000022,0.000035
47202,0.000029,0.000033
47202,0.000026,0.000035
47202,0.000033,0.000036
47202,0.000040,0.000046
70803,0.000038,0.000049
70803,0.000041,0.000050
70803,0.000029,0.000038
70803,0.000030,0.000038
70803,0.000041,0.000050
70803,0.000022,0.000037
70803,0.000032,0.000040
70803,0.000052,0.000054
70803,0.000021,0.000037
70803,0.000026,0.000037
106204,0.000026,0.000044
106204,0.000020,0.000043
106204,0.000042,0.000055
106204,0.000031,0.000044
106204,0.000037,0.000054
106204,0.000024,0.000045
106204,0.000023,0.000044
106204,0.000026,0.000055
106204,0.000026,0.000043
106204,0.000031,0.000044
159306,0.000025,0.000053
159306,0.000022,0.000053
159306,0.000028,0.000054
159306,0.000028,0.000065
159306,0.000030,0.000054
159306,0.000022,0.000054
159306,0.000040,0.000055
159306,0.000027,0.000053
159306,0.000042,0.000056
159306,0.000031,0.000054
238959,0.000029,0.000066
238959,0.000030,0.000068
238959,0.000032,0.000069
238959,0.000031,0.000068
238959,0.000039,0.000070
238959,0.000027,0.000065
238959,0.000041,0.000074
238959,0.000027,0.000066
238959,0.000022,0.000067
238959,0.000028,0.000066
358438,0.000029,0.000087
358438,0.000023,0.000089
358438,0.000045,0.000092
358438,0.000052,0.000096
358438,0.000028,0.000094
358438,0.000021,0.000087
358438,0.000020,0.000086
358438,0.000023,0.000086
358438,0.000031,0.000085
358438,0.000024,0.000092
537657,0.000027,0.000117
537657,0.000028,0.000115
537657,0.000029,0.000116
537657,0.000027,0.000116
537657,0.000042,0.000128
537657,0.000029,0.000117
537657,0.000028,0.000116
537657,0.000025,0.000119
537657,0.000040,0.000123
537657,0.000021,0.000114
806486,0.000020,0.000156
806486,0.000030,0.000170
806486,0.000032,0.000163
806486,0.000058,0.000171
806486,0.000034,0.000167
806486,0.000037,0.000165
806486,0.000027,0.000161
806486,0.000031,0.000163
806486,0.000028,0.000159
806486,0.000028,0.000161
1209729,0.000031,0.000228
1209729,0.000028,0.000228
1209729,0.000028,0.000228
1209729,0.000054,0.000233
1209729,0.000029,0.000227
1209729,0.000022,0.000227
1209729,0.000022,0.000227
1209729,0.000029,0.000229
1209729,0.000022,0.000228
1209729,0.000022,0.000227
1814594,0.000022,0.000327
1814594,0.000021,0.000327
1814594,0.000021,0.000327
1814594,0.000030,0.000327
1814594,0.000022,0.000345
1814594,0.000028,0.000326
1814594,0.000022,0.000327
1814594,0.000034,0.000327
1814594,0.000030,0.000328
1814594,0.000029,0.000339
2721891,0.000024,0.000477
2721891,0.000027,0.000475
2721891,0.000026,0.000474
2721891,0.000027,0.000475
2721891,0.000030,0.000474
2721891,0.000032,0.000474
2721891,0.000028,0.000475
2721891,0.000028,0.000476
2721891,0.000021,0.000474
2721891,0.000022,0.000475
4082836,0.000030,0.000750
4082836,0.000023,0.000707
4082836,0.000023,0.000750
4082836,0.000028,0.000705
4082836,0.000025,0.000786
4082836,0.000027,0.000743
4082836,0.000021,0.000749
4082836,0.000027,0.000748
4082836,0.000023,0.000785
4082836,0.000031,0.000755
6124254,0.000027,0.001034
6124254,0.000028,0.001097
6124254,0.000026,0.001096
6124254,0.000032,0.001035
6124254,0.000028,0.001084
6124254,0.000032,0.001082
6124254,0.000020,0.001035
6124254,0.000022,0.001091
6124254,0.000027,0.001115
6124254,0.000032,0.001138
9186381,0.000029,0.001600
9186381,0.000028,0.001610
9186381,0.000020,0.001605
9186381,0.000029,0.001609
9186381,0.000021,0.001595
9186381,0.000029,0.001618
9186381,0.000029,0.001599
9186381,0.000025,0.001605
9186381,0.000029,0.001599
9186381,0.000032,0.001612
13779572,0.000031,0.002358
13779572,0.000032,0.002365
13779572,0.000029,0.002379
13779572,0.000023,0.002381
13779572,0.000023,0.002344
13779572,0.000032,0.002339
13779572,0.000031,0.002347
13779572,0.000029,0.002297
13779572,0.000026,0.002365
13779572,0.000030,0.002383
20669358,0.000031,0.003515
20669358,0.000026,0.003572
20669358,0.000023,0.003517
20669358,0.000032,0.003607
20669358,0.000033,0.003515
20669358,0.000031,0.003611
20669358,0.000023,0.003573
20669358,0.000022,0.003452
20669358,0.000023,0.003493
20669358,0.000031,0.003537
31004037,0.000034,0.005276
31004037,0.000033,0.005202
31004037,0.000035,0.005288
31004037,0.000051,0.005361
31004037,0.000037,0.005157
31004037,0.000034,0.005205
31004037,0.000026,0.005201
31004037,0.000025,0.005338
31004037,0.000024,0.005308
31004037,0.000034,0.005273
46506056,0.000037,0.007845
46506056,0.000036,0.007836
46506056,0.000041,0.007847
46506056,0.000037,0.007842
46506056,0.000021,0.007863
46506056,0.000034,0.007881
46506056,0.000026,0.007833
46506056,0.000037,0.007830
46506056,0.000036,0.007831
46506056,0.000025,0.007867
69759084,0.000044,0.011700
69759084,0.000029,0.011653
69759084,0.000038,0.011707
69759084,0.000052,0.011680
69759084,0.000028,0.011656
69759084,0.000053,0.011622
69759084,0.000032,0.011691
69759084,0.000045,0.011692
69759084,0.000038,0.011691
69759084,0.000029,0.011700
104638626,0.000042,0.017399
104638626,0.000027,0.017437
104638626,0.000055,0.017402
104638626,0.000027,0.017445
104638626,0.000039,0.017376
104638626,0.000029,0.017393
104638626,0.000029,0.017431
104638626,0.000022,0.017393
104638626,0.000022,0.017392
104638626,0.000035,0.017422
156957939,0.000036,0.026274
156957939,0.000034,0.026111
156957939,0.000037,0.026097
156957939,0.000041,0.026081
156957939,0.000056,0.026096
156957939,0.000057,0.026074
156957939,0.000034,0.026085
156957939,0.000034,0.026034
156957939,0.000056,0.025944
156957939,0.000036,0.026017
235436908,0.000056,0.039626
235436908,0.000034,0.039060
235436908,0.000044,0.039020
235436908,0.000057,0.039039
235436908,0.000036,0.038989
235436908,0.000041,0.039011
235436908,0.000048,0.039006
235436908,0.000061,0.038964
235436908,0.000046,0.039020
235436908,0.000058,0.038978
353155362,0.000074,0.060767
353155362,0.000036,0.058839
353155362,0.000033,0.058644
353155362,0.000045,0.058569
353155362,0.000037,0.058547
353155362,0.000039,0.058404
353155362,0.000041,0.058479
353155362,0.000035,0.058387
353155362,0.000055,0.058460
353155362,0.000034,0.058437
529733043,0.000060,0.091073
529733043,0.000037,0.088632
529733043,0.000049,0.088245
529733043,0.000038,0.088101
529733043,0.000059,0.088001
529733043,0.000030,0.087970
529733043,0.000047,0.087972
529733043,0.000057,0.087915
529733043,0.000036,0.087981
529733043,0.000024,0.087860
794599564,0.000035,0.143180
794599564,0.000057,0.138065
794599564,0.000034,0.136923
794599564,0.000056,0.136601
794599564,0.000038,0.136386
794599564,0.000045,0.136290
794599564,0.000037,0.136189
794599564,0.000034,0.136177
794599564,0.000039,0.136192
794599564,0.000058,0.136329
1073741824,0.000077,0.197116
1073741824,0.000029,0.192508
1073741824,0.000027,0.192786
1073741824,0.000059,0.192602
1073741824,0.000053,0.192627
1073741824,0.000035,0.192735
1073741824,0.000039,0.192650
1073741824,0.000037,0.192607
1073741824,0.000040,0.192593
1073741824,0.000035,0.192592
