byte_length,setup_time,transfer_time
1,0.000640,0.002381
1,0.000649,0.002253
1,0.000641,0.002216
1,0.000324,0.002201
1,0.000438,0.002147
1,0.000657,0.002143
1,0.000277,0.002140
1,0.000573,0.002151
1,0.000263,0.002134
1,0.000576,0.002409
2,0.000638,0.002143
2,0.000558,0.002134
2,0.000603,0.002355
2,0.000421,0.002236
2,0.000285,0.002137
2,0.000309,0.002133
2,0.000491,0.002302
2,0.000922,0.002288
2,0.000382,0.002155
2,0.000387,0.002153
3,0.000558,0.002235
3,0.000407,0.002152
3,0.000390,0.002152
3,0.000262,0.002132
3,0.000342,0.002142
3,0.000407,0.002156
3,0.000270,0.002129
3,0.000260,0.002127
3,0.000451,0.002141
3,0.000328,0.002142
4,0.000440,0.002132
4,0.000279,0.002146
4,0.000544,0.002215
4,0.000408,0.002252
4,0.000393,0.002157
4,0.000427,0.002281
4,0.000262,0.002136
4,0.000302,0.002133
4,0.000247,0.002143
4,0.000187,0.002135
6,0.000777,0.002297
6,0.000704,0.002232
6,0.000407,0.002133
6,0.000330,0.002138
6,0.000410,0.002178
6,0.000421,0.002145
6,0.000652,0.002097
6,0.000569,0.002242
6,0.000315,0.002277
6,0.000368,0.002154
9,0.000370,0.002160
9,0.000421,0.002215
9,0.000388,0.002157
9,0.000402,0.002311
9,0.000383,0.002151
9,0.000390,0.002148
9,0.000260,0.002143
9,0.000494,0.002132
9,0.000253,0.002133
9,0.000280,0.002100
14,0.000279,0.002128
14,0.000336,0.002156
14,0.000374,0.002153
14,0.000150,0.002133
14,0.000198,0.002132
14,0.000485,0.002139
14,0.000980,0.002218
14,0.000412,0.002211
14,0.000410,0.002233
14,0.000299,0.002151
21,0.000551,0.002234
21,0.000443,0.002151
21,0.000213,0.002193
21,0.000552,0.002143
21,0.000484,0.002131
21,0.000397,0.002164
21,0.000383,0.002143
21,0.000222,0.002121
21,0.000418,0.002129
21,0.000247,0.002136
32,0.000258,0.002152
32,0.000495,0.002149
32,0.000383,0.002149
32,0.000261,0.002133
32,0.000285,0.002121
32,0.000263,0.002135
32,0.000250,0.002148
32,0.000271,0.002140
32,0.000257,0.002137
32,0.000257,0.002137
48,0.000264,0.002140
48,0.000275,0.002126
48,0.000255,0.002131
48,0.000381,0.002147
48,0.000275,0.002114
48,0.000405,0.002135
48,0.000192,0.002200
48,0.000251,0.002081
48,0.000581,0.002064
48,0.000393,0.002130
72,0.000268,0.002131
72,0.000270,0.002141
72,0.000517,0.002181
72,0.000392,0.002216
72,0.000343,0.002130
72,0.000375,0.002166
72,0.000329,0.002204
72,0.000424,0.002192
72,0.000280,0.002132
72,0.000551,0.002310
108,0.000530,0.002108
108,0.000204,0.002128
108,0.000544,0.002080
108,0.000380,0.002167
108,0.000389,0.002151
108,0.000648,0.002340
108,0.000345,0.002150
108,0.000262,0.002138
108,0.000263,0.002128
108,0.000315,0.002133
162,0.000352,0.002249
162,0.000397,0.002151
162,0.000346,0.002211
162,0.000550,0.002286
162,0.000620,0.002155
162,0.000179,0.002133
162,0.000466,0.002213
162,0.000357,0.002139
162,0.000185,0.002136
162,0.000266,0.002131
243,0.000263,0.002144
243,0.000325,0.002149
243,0.000400,0.002152
243,0.000202,0.002131
243,0.000276,0.002150
243,0.000327,0.002131
243,0.000428,0.002152
243,0.000569,0.002065
243,0.000580,0.002065
243,0.000349,0.002295
364,0.000264,0.002128
364,0.000503,0.002150
364,0.000313,0.002132
364,0.000261,0.002131
364,0.000742,0.002209
364,0.000261,0.002139
364,0.000253,0.002137
364,0.000340,0.002123
364,0.000392,0.002148
364,0.000384,0.002160
546,0.000389,0.002147
546,0.000389,0.002237
546,0.000417,0.002149
546,0.000342,0.002198
546,0.000443,0.002224
546,0.000313,0.002210
546,0.000268,0.002132
546,0.000821,0.002316
546,0.000383,0.002145
546,0.000404,0.002232
819,0.000385,0.002221
819,0.000323,0.002150
819,0.000348,0.002192
819,0.000258,0.002149
819,0.000459,0.002223
819,0.000258,0.002130
819,0.000309,0.002142
819,0.000259,0.002136
819,0.000389,0.002146
819,0.000807,0.002298
1228,0.000744,0.002453
1228,0.000253,0.002139
1228,0.000594,0.002129
1228,0.000260,0.002121
1228,0.000303,0.002126
1228,0.000251,0.002158
1228,0.000576,0.002154
1228,0.000292,0.002111
1228,0.000248,0.002139
1228,0.000565,0.002064
1842,0.000756,0.002160
1842,0.000435,0.002224
1842,0.000364,0.002145
1842,0.000330,0.002224
1842,0.000262,0.002137
1842,0.000265,0.002138
1842,0.000203,0.002191
1842,0.000277,0.002135
1842,0.000261,0.002133
1842,0.000296,0.002112
2763,0.000263,0.002141
2763,0.000214,0.002131
2763,0.000204,0.002135
2763,0.000516,0.002137
2763,0.000247,0.002204
2763,0.000450,0.002191
2763,0.000381,0.002151
2763,0.000580,0.002049
2763,0.000260,0.002151
2763,0.000286,0.002117
4144,0.000505,0.002155
4144,0.000325,0.002135
4144,0.000233,0.002152
4144,0.000347,0.002219
4144,0.000716,0.002226
4144,0.000276,0.002141
4144,0.000264,0.002149
4144,0.000398,0.002153
4144,0.000254,0.002135
4144,0.000562,0.002172
6216,0.000192,0.002134
6216,0.000303,0.002132
6216,0.000194,0.002133
6216,0.000514,0.002383
6216,0.000284,0.002091
6216,0.000269,0.002139
6216,0.000285,0.002120
6216,0.000183,0.002135
6216,0.000180,0.002132
6216,0.000294,0.002121
9324,0.000319,0.002192
9324,0.000300,0.002126
9324,0.000293,0.002126
9324,0.000174,0.002136
9324,0.000343,0.002133
9324,0.000397,0.002143
9324,0.000192,0.002131
9324,0.000237,0.002278
9324,0.000272,0.002126
9324,0.000287,0.002134
13986,0.000289,0.002123
13986,0.000381,0.002140
13986,0.000290,0.002128
13986,0.000256,0.002216
13986,0.000220,0.002133
13986,0.000309,0.002137
13986,0.000279,0.002106
13986,0.000209,0.002133
13986,0.000209,0.002132
13986,0.000221,0.002322
20979,0.000225,0.002129
20979,0.000758,0.002146
20979,0.000228,0.002132
20979,0.000332,0.002141
20979,0.000430,0.002138
20979,0.000495,0.002138
20979,0.000806,0.002145
20979,0.000240,0.002138
20979,0.000223,0.002133
20979,0.000340,0.002151
31468,0.000260,0.002137
31468,0.000407,0.002138
31468,0.000331,0.002112
31468,0.000323,0.002199
31468,0.000644,0.002144
31468,0.000313,0.002133
31468,0.000277,0.002134
31468,0.000353,0.002226
31468,0.000536,0.002136
31468,0.000284,0.002134
47202,0.000544,0.002149
47202,0.000322,0.002138
47202,0.000448,0.002143
47202,0.000546,0.002165
47202,0.000310,0.002144
47202,0.000522,0.002168
47202,0.000422,0.002132
47202,0.000301,0.002131
47202,0.000329,0.002203
47202,0.000314,0.002177
70803,0.000470,0.002061
70803,0.000342,0.002145
70803,0.000340,0.002127
70803,0.000440,0.002149
70803,0.000462,0.002161
70803,0.000404,0.002213
70803,0.000401,0.002138
70803,0.000661,0.002216
70803,0.000330,0.002137
70803,0.000579,0.002218
106204,0.000582,0.002144
106204,0.000581,0.002150
106204,0.000977,0.002208
106204,0.000598,0.002160
106204,0.000658,0.002171
106204,0.000701,0.002152
106204,0.000724,0.002144
106204,0.000664,0.002155
