byte_length,setup_time,transfer_time
1,0.000219,0.002326
1,0.000231,0.002196
1,0.000268,0.002175
1,0.000202,0.002199
1,0.000210,0.002321
1,0.000214,0.002225
1,0.000265,0.002333
1,0.000245,0.002221
1,0.000165,0.002205
1,0.000125,0.002251
2,0.000260,0.002247
2,0.000202,0.002227
2,0.000224,0.002334
2,0.000207,0.002156
2,0.000201,0.002134
2,0.000187,0.002290
2,0.000258,0.002250
2,0.000227,0.002271
2,0.000232,0.002264
2,0.000257,0.002224
3,0.000263,0.002323
3,0.000164,0.002265
3,0.000196,0.002199
3,0.000266,0.002235
3,0.000190,0.002254
3,0.000182,0.002315
3,0.000222,0.002381
3,0.000311,0.002191
3,0.000226,0.002203
3,0.000207,0.002178
4,0.000164,0.002302
4,0.000291,0.002249
4,0.000180,0.002201
4,0.000279,0.002207
4,0.000276,0.002270
4,0.000181,0.002143
4,0.000400,0.002212
4,0.000240,0.002175
4,0.000169,0.002296
4,0.000188,0.002206
6,0.000218,0.002226
6,0.000293,0.002288
6,0.000231,0.002204
6,0.000171,0.002283
6,0.000173,0.002167
6,0.000238,0.002327
6,0.000244,0.002208
6,0.000242,0.002277
6,0.000287,0.002247
6,0.000276,0.002230
9,0.000230,0.002212
9,0.000265,0.002191
9,0.000147,0.002262
9,0.000301,0.002329
9,0.000194,0.002331
9,0.000205,0.002164
9,0.000280,0.002278
9,0.000188,0.002202
9,0.000240,0.002192
9,0.000247,0.002229
14,0.000271,0.002296
14,0.000313,0.002231
14,0.000235,0.002245
14,0.000284,0.002208
14,0.000304,0.002183
14,0.000288,0.002299
14,0.000285,0.002334
14,0.000269,0.002353
14,0.000203,0.002193
14,0.000243,0.002260
21,0.000155,0.002327
21,0.000286,0.002168
21,0.000223,0.002274
21,0.000257,0.002294
21,0.000231,0.002185
21,0.000149,0.002195
21,0.000246,0.002227
21,0.000278,0.002290
21,0.000174,0.002245
21,0.000189,0.002178
32,0.000230,0.002209
32,0.000274,0.002298
32,0.000158,0.002231
32,0.000233,0.002229
32,0.000165,0.002332
32,0.000233,0.002282
32,0.000129,0.002209
